[2026-07-16T18:02:46] Scheduler started
[2026-07-16T18:03:40] Started split_multichannel | split_multichannel_031_half_yearly_low_mag_noise10_lt1 | run_5 | freq=26 | noise=1 | magnitude=50 | lead_time=1 | PID 3631417 | GPU 4
[2026-07-16T18:03:43] Started split_multichannel | split_multichannel_031_half_yearly_low_mag_noise10_lt1 | run_9 | freq=26 | noise=1 | magnitude=50 | lead_time=1 | PID 3631470 | GPU 3
[2026-07-16T18:03:47] Started split_multichannel | split_multichannel_032_half_yearly_low_mag_noise10_lt2 | run_3 | freq=26 | noise=1 | magnitude=50 | lead_time=2 | PID 3631665 | GPU 2
[2026-07-16T18:03:50] Started split_multichannel | split_multichannel_032_half_yearly_low_mag_noise10_lt2 | run_7 | freq=26 | noise=1 | magnitude=50 | lead_time=2 | PID 3631706 | GPU 6
[2026-07-16T18:03:53] Started split_multichannel | split_multichannel_033_half_yearly_low_mag_noise10_lt3 | run_1 | freq=26 | noise=1 | magnitude=50 | lead_time=3 | PID 3631735 | GPU 0
[2026-07-16T18:03:57] Started split_multichannel | split_multichannel_033_half_yearly_low_mag_noise10_lt3 | run_5 | freq=26 | noise=1 | magnitude=50 | lead_time=3 | PID 3631852 | GPU 1
[2026-07-16T18:04:00] Started split_multichannel | split_multichannel_033_half_yearly_low_mag_noise10_lt3 | run_9 | freq=26 | noise=1 | magnitude=50 | lead_time=3 | PID 3631860 | GPU 5
[2026-07-16T18:04:03] Started split_multichannel | split_multichannel_034_half_yearly_low_mag_noise100_lt1 | run_3 | freq=26 | noise=1 | magnitude=50 | lead_time=1 | PID 3631868 | GPU 7
[2026-07-16T18:04:07] Started split_multichannel | split_multichannel_034_half_yearly_low_mag_noise100_lt1 | run_9 | freq=26 | noise=1 | magnitude=50 | lead_time=1 | PID 3631879 | GPU 7
[2026-07-16T18:04:13] Started split_multichannel | split_multichannel_045_half_yearly_medium_mag_noise100_lt3 | run_0 | freq=26 | noise=1 | magnitude=100 | lead_time=3 | PID 3631932 | GPU 2
[2026-07-16T18:04:21] Started split_multichannel | split_multichannel_061_quarterly_low_mag_noise100_lt1 | run_6 | freq=13 | noise=1 | magnitude=50 | lead_time=1 | PID 3632022 | GPU 0
[2026-07-16T18:04:28] Started split_multichannel | split_multichannel_075_quarterly_high_mag_noise0_lt3 | run_8 | freq=13 | noise=1 | magnitude=200 | lead_time=3 | PID 3632114 | GPU 5
[2026-07-16T18:04:32] Started split_multichannel | split_multichannel_076_quarterly_high_mag_noise10_lt1 | run_2 | freq=13 | noise=1 | magnitude=200 | lead_time=1 | PID 3632121 | GPU 1
[2026-07-16T18:04:44] Started local_timemixer | local_timemixer_002_yearly_low_mag_noise0_lt2 | run_1 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 3632334 | GPU 4
[2026-07-16T18:04:48] Started local_timemixer | local_timemixer_002_yearly_low_mag_noise0_lt2 | run_5 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 3632596 | GPU 6
[2026-07-16T18:05:02] Started local_timemixer | local_timemixer_041_half_yearly_medium_mag_noise10_lt2 | run_7 | freq=26 | noise=1 | magnitude=100 | lead_time=2 | PID 3633173 | GPU 3
[2026-07-16T18:06:56] Finished split_multichannel | split_multichannel_061_quarterly_low_mag_noise100_lt1 | run_6 | freq=13 | noise=1 | magnitude=50 | lead_time=1
[2026-07-16T18:06:57] Started split_multichannel | split_multichannel_035_half_yearly_low_mag_noise100_lt2 | run_3 | freq=26 | noise=1 | magnitude=50 | lead_time=2 | PID 3636061 | GPU 0
[2026-07-16T18:07:00] Started split_multichannel | split_multichannel_036_half_yearly_low_mag_noise100_lt3 | run_0 | freq=26 | noise=1 | magnitude=50 | lead_time=3 | PID 3636072 | GPU 7
[2026-07-16T18:07:03] Started split_multichannel | split_multichannel_036_half_yearly_low_mag_noise100_lt3 | run_4 | freq=26 | noise=1 | magnitude=50 | lead_time=3 | PID 3636188 | GPU 7
[2026-07-16T18:07:07] Started split_multichannel | split_multichannel_037_half_yearly_medium_mag_noise0_lt1 | run_0 | freq=26 | noise=1 | magnitude=100 | lead_time=1 | PID 3636254 | GPU 0
[2026-07-16T18:07:10] Started split_multichannel | split_multichannel_037_half_yearly_medium_mag_noise0_lt1 | run_4 | freq=26 | noise=1 | magnitude=100 | lead_time=1 | PID 3636280 | GPU 5
[2026-07-16T18:07:13] Started split_multichannel | split_multichannel_037_half_yearly_medium_mag_noise0_lt1 | run_8 | freq=26 | noise=1 | magnitude=100 | lead_time=1 | PID 3636288 | GPU 5
[2026-07-16T18:07:17] Started split_multichannel | split_multichannel_038_half_yearly_medium_mag_noise0_lt2 | run_2 | freq=26 | noise=1 | magnitude=100 | lead_time=2 | PID 3636296 | GPU 7
[2026-07-16T18:07:20] Started split_multichannel | split_multichannel_038_half_yearly_medium_mag_noise0_lt2 | run_7 | freq=26 | noise=1 | magnitude=100 | lead_time=2 | PID 3636341 | GPU 1
[2026-07-16T18:07:23] Started split_multichannel | split_multichannel_039_half_yearly_medium_mag_noise0_lt3 | run_1 | freq=26 | noise=1 | magnitude=100 | lead_time=3 | PID 3636421 | GPU 0
[2026-07-16T18:07:27] Started split_multichannel | split_multichannel_039_half_yearly_medium_mag_noise0_lt3 | run_5 | freq=26 | noise=1 | magnitude=100 | lead_time=3 | PID 3636494 | GPU 2
[2026-07-16T18:07:30] Started split_multichannel | split_multichannel_040_half_yearly_medium_mag_noise10_lt1 | run_0 | freq=26 | noise=1 | magnitude=100 | lead_time=1 | PID 3636577 | GPU 1
[2026-07-16T18:07:41] Started split_multichannel | split_multichannel_069_quarterly_medium_mag_noise10_lt3 | run_6 | freq=13 | noise=1 | magnitude=100 | lead_time=3 | PID 3636814 | GPU 5
[2026-07-16T18:07:49] Started split_multichannel | split_multichannel_088_half_quarterly_low_mag_noise100_lt1 | run_0 | freq=7 | noise=1 | magnitude=50 | lead_time=1 | PID 3637093 | GPU 6
[2026-07-16T18:07:54] Started split_multichannel | split_multichannel_097_half_quarterly_medium_mag_noise100_lt1 | run_8 | freq=7 | noise=1 | magnitude=100 | lead_time=1 | PID 3637148 | GPU 3
[2026-07-16T18:07:59] Started split_multichannel | split_multichannel_102_half_quarterly_high_mag_noise0_lt3 | run_3 | freq=7 | noise=1 | magnitude=200 | lead_time=3 | PID 3637175 | GPU 3
