[2026-07-17T14:37:35] Started None | no_training_ma_046_half_yearly_high_mag_noise0_lt1 | run_1 | freq=26 | noise=1 | magnitude=200 | lead_time=1 | PID 828202 | GPU None
[2026-07-17T14:37:39] Started None | no_training_ma_047_half_yearly_high_mag_noise0_lt2 | run_1 | freq=26 | noise=1 | magnitude=200 | lead_time=2 | PID 828206 | GPU None
[2026-07-17T14:37:42] Started None | no_training_ma_048_half_yearly_high_mag_noise0_lt3 | run_1 | freq=26 | noise=1 | magnitude=200 | lead_time=3 | PID 828212 | GPU None
[2026-07-17T14:37:45] Started None | no_training_ma_049_half_yearly_high_mag_noise10_lt1 | run_1 | freq=26 | noise=1 | magnitude=200 | lead_time=1 | PID 828216 | GPU None
[2026-07-17T14:37:48] Started None | no_training_ma_050_half_yearly_high_mag_noise10_lt2 | run_1 | freq=26 | noise=1 | magnitude=200 | lead_time=2 | PID 828220 | GPU None
[2026-07-17T14:37:52] Finished None | no_training_ma_048_half_yearly_high_mag_noise0_lt3 | run_1 | freq=26 | noise=1 | magnitude=200 | lead_time=3
[2026-07-17T14:37:52] Started None | no_training_ma_051_half_yearly_high_mag_noise10_lt3 | run_1 | freq=26 | noise=1 | magnitude=200 | lead_time=3 | PID 828232 | GPU None
[2026-07-17T14:37:55] Started None | no_training_ma_052_half_yearly_high_mag_noise100_lt1 | run_1 | freq=26 | noise=1 | magnitude=200 | lead_time=1 | PID 828240 | GPU None
[2026-07-17T14:37:59] Started None | no_training_ma_053_half_yearly_high_mag_noise100_lt2 | run_1 | freq=26 | noise=1 | magnitude=200 | lead_time=2 | PID 828244 | GPU None
[2026-07-17T14:38:02] Started None | no_training_ma_054_half_yearly_high_mag_noise100_lt3 | run_1 | freq=26 | noise=1 | magnitude=200 | lead_time=3 | PID 828248 | GPU None
[2026-07-17T14:38:05] Started None | no_training_ma_055_quarterly_low_mag_noise0_lt1 | run_1 | freq=13 | noise=1 | magnitude=50 | lead_time=1 | PID 828430 | GPU None
[2026-07-17T14:38:08] Started None | no_training_ma_056_quarterly_low_mag_noise0_lt2 | run_1 | freq=13 | noise=1 | magnitude=50 | lead_time=2 | PID 828448 | GPU None
[2026-07-17T14:38:12] Started None | no_training_ma_057_quarterly_low_mag_noise0_lt3 | run_1 | freq=13 | noise=1 | magnitude=50 | lead_time=3 | PID 828575 | GPU None
[2026-07-17T14:38:15] Started None | no_training_ma_058_quarterly_low_mag_noise10_lt1 | run_1 | freq=13 | noise=1 | magnitude=50 | lead_time=1 | PID 828604 | GPU None
[2026-07-17T14:38:18] Started None | no_training_ma_059_quarterly_low_mag_noise10_lt2 | run_1 | freq=13 | noise=1 | magnitude=50 | lead_time=2 | PID 828614 | GPU None
[2026-07-17T14:38:21] Started None | no_training_ma_060_quarterly_low_mag_noise10_lt3 | run_1 | freq=13 | noise=1 | magnitude=50 | lead_time=3 | PID 828618 | GPU None
[2026-07-17T14:38:24] Started None | no_training_ma_061_quarterly_low_mag_noise100_lt1 | run_1 | freq=13 | noise=1 | magnitude=50 | lead_time=1 | PID 828622 | GPU None
[2026-07-17T14:38:28] Started None | no_training_ma_062_quarterly_low_mag_noise100_lt2 | run_1 | freq=13 | noise=1 | magnitude=50 | lead_time=2 | PID 828630 | GPU None
[2026-07-17T14:38:31] Started None | no_training_ma_063_quarterly_low_mag_noise100_lt3 | run_1 | freq=13 | noise=1 | magnitude=50 | lead_time=3 | PID 828639 | GPU None
[2026-07-17T14:38:34] Started None | no_training_ma_064_quarterly_medium_mag_noise0_lt1 | run_1 | freq=13 | noise=1 | magnitude=100 | lead_time=1 | PID 828720 | GPU None
[2026-07-17T14:38:38] Started None | no_training_ma_065_quarterly_medium_mag_noise0_lt2 | run_1 | freq=13 | noise=1 | magnitude=100 | lead_time=2 | PID 828838 | GPU None
[2026-07-17T14:38:41] Started None | no_training_ma_066_quarterly_medium_mag_noise0_lt3 | run_1 | freq=13 | noise=1 | magnitude=100 | lead_time=3 | PID 828908 | GPU None
[2026-07-17T14:38:44] Started None | no_training_ma_067_quarterly_medium_mag_noise10_lt1 | run_1 | freq=13 | noise=1 | magnitude=100 | lead_time=1 | PID 828988 | GPU None
[2026-07-17T14:38:47] Started None | no_training_ma_068_quarterly_medium_mag_noise10_lt2 | run_1 | freq=13 | noise=1 | magnitude=100 | lead_time=2 | PID 829066 | GPU None
[2026-07-17T14:38:51] Started None | no_training_ma_069_quarterly_medium_mag_noise10_lt3 | run_1 | freq=13 | noise=1 | magnitude=100 | lead_time=3 | PID 829096 | GPU None
[2026-07-17T14:38:54] Started None | no_training_ma_070_quarterly_medium_mag_noise100_lt1 | run_1 | freq=13 | noise=1 | magnitude=100 | lead_time=1 | PID 829101 | GPU None
[2026-07-17T14:38:57] Started None | no_training_ma_071_quarterly_medium_mag_noise100_lt2 | run_1 | freq=13 | noise=1 | magnitude=100 | lead_time=2 | PID 829109 | GPU None
[2026-07-17T14:39:00] Started None | no_training_ma_072_quarterly_medium_mag_noise100_lt3 | run_1 | freq=13 | noise=1 | magnitude=100 | lead_time=3 | PID 829113 | GPU None
[2026-07-17T14:39:04] Started None | no_training_ma_073_quarterly_high_mag_noise0_lt1 | run_1 | freq=13 | noise=1 | magnitude=200 | lead_time=1 | PID 829118 | GPU None
[2026-07-17T14:39:07] Started None | no_training_ma_074_quarterly_high_mag_noise0_lt2 | run_1 | freq=13 | noise=1 | magnitude=200 | lead_time=2 | PID 829300 | GPU None
[2026-07-17T14:39:10] Started None | no_training_ma_075_quarterly_high_mag_noise0_lt3 | run_1 | freq=13 | noise=1 | magnitude=200 | lead_time=3 | PID 829310 | GPU None
[2026-07-17T14:39:13] Started None | no_training_ma_076_quarterly_high_mag_noise10_lt1 | run_1 | freq=13 | noise=1 | magnitude=200 | lead_time=1 | PID 829420 | GPU None
[2026-07-17T14:39:17] Started None | no_training_ma_077_quarterly_high_mag_noise10_lt2 | run_1 | freq=13 | noise=1 | magnitude=200 | lead_time=2 | PID 829436 | GPU None
[2026-07-17T14:39:20] Started None | no_training_ma_078_quarterly_high_mag_noise10_lt3 | run_1 | freq=13 | noise=1 | magnitude=200 | lead_time=3 | PID 829440 | GPU None
[2026-07-17T14:39:23] Started None | no_training_ma_079_quarterly_high_mag_noise100_lt1 | run_1 | freq=13 | noise=1 | magnitude=200 | lead_time=1 | PID 829444 | GPU None
[2026-07-17T14:39:26] Started None | no_training_ma_080_quarterly_high_mag_noise100_lt2 | run_1 | freq=13 | noise=1 | magnitude=200 | lead_time=2 | PID 829452 | GPU None
[2026-07-17T14:39:29] Started None | no_training_ma_081_quarterly_high_mag_noise100_lt3 | run_1 | freq=13 | noise=1 | magnitude=200 | lead_time=3 | PID 829459 | GPU None
[2026-07-17T14:39:33] Started None | no_training_ma_082_half_quarterly_low_mag_noise0_lt1 | run_1 | freq=7 | noise=1 | magnitude=50 | lead_time=1 | PID 829463 | GPU None
[2026-07-17T14:39:36] Started None | no_training_ma_083_half_quarterly_low_mag_noise0_lt2 | run_1 | freq=7 | noise=1 | magnitude=50 | lead_time=2 | PID 829474 | GPU None
[2026-07-17T14:39:39] Started None | no_training_ma_084_half_quarterly_low_mag_noise0_lt3 | run_1 | freq=7 | noise=1 | magnitude=50 | lead_time=3 | PID 829532 | GPU None
[2026-07-17T14:39:42] Started None | no_training_ma_085_half_quarterly_low_mag_noise10_lt1 | run_1 | freq=7 | noise=1 | magnitude=50 | lead_time=1 | PID 829555 | GPU None
[2026-07-17T14:39:46] Started None | no_training_ma_086_half_quarterly_low_mag_noise10_lt2 | run_1 | freq=7 | noise=1 | magnitude=50 | lead_time=2 | PID 829559 | GPU None
[2026-07-17T14:39:49] Started None | no_training_ma_087_half_quarterly_low_mag_noise10_lt3 | run_1 | freq=7 | noise=1 | magnitude=50 | lead_time=3 | PID 829565 | GPU None
[2026-07-17T14:39:52] Started None | no_training_ma_088_half_quarterly_low_mag_noise100_lt1 | run_1 | freq=7 | noise=1 | magnitude=50 | lead_time=1 | PID 829645 | GPU None
[2026-07-17T14:39:55] Started None | no_training_ma_089_half_quarterly_low_mag_noise100_lt2 | run_1 | freq=7 | noise=1 | magnitude=50 | lead_time=2 | PID 829724 | GPU None
[2026-07-17T14:39:59] Started None | no_training_ma_090_half_quarterly_low_mag_noise100_lt3 | run_1 | freq=7 | noise=1 | magnitude=50 | lead_time=3 | PID 829801 | GPU None
[2026-07-17T14:40:02] Started None | no_training_ma_091_half_quarterly_medium_mag_noise0_lt1 | run_1 | freq=7 | noise=1 | magnitude=100 | lead_time=1 | PID 829900 | GPU None
[2026-07-17T14:40:05] Started None | no_training_ma_092_half_quarterly_medium_mag_noise0_lt2 | run_1 | freq=7 | noise=1 | magnitude=100 | lead_time=2 | PID 829946 | GPU None
[2026-07-17T14:40:08] Started None | no_training_ma_093_half_quarterly_medium_mag_noise0_lt3 | run_1 | freq=7 | noise=1 | magnitude=100 | lead_time=3 | PID 830128 | GPU None
[2026-07-17T14:40:12] Started None | no_training_ma_094_half_quarterly_medium_mag_noise10_lt1 | run_1 | freq=7 | noise=1 | magnitude=100 | lead_time=1 | PID 830141 | GPU None
[2026-07-17T14:40:15] Started None | no_training_ma_095_half_quarterly_medium_mag_noise10_lt2 | run_1 | freq=7 | noise=1 | magnitude=100 | lead_time=2 | PID 830228 | GPU None
[2026-07-17T14:40:18] Started None | no_training_ma_096_half_quarterly_medium_mag_noise10_lt3 | run_1 | freq=7 | noise=1 | magnitude=100 | lead_time=3 | PID 830258 | GPU None
[2026-07-17T14:40:21] Started None | no_training_ma_097_half_quarterly_medium_mag_noise100_lt1 | run_1 | freq=7 | noise=1 | magnitude=100 | lead_time=1 | PID 830262 | GPU None
[2026-07-17T14:40:25] Started None | no_training_ma_098_half_quarterly_medium_mag_noise100_lt2 | run_1 | freq=7 | noise=1 | magnitude=100 | lead_time=2 | PID 830266 | GPU None
[2026-07-17T14:40:28] Finished None | no_training_ma_097_half_quarterly_medium_mag_noise100_lt1 | run_1 | freq=7 | noise=1 | magnitude=100 | lead_time=1
[2026-07-17T14:40:28] Started None | no_training_ma_099_half_quarterly_medium_mag_noise100_lt3 | run_1 | freq=7 | noise=1 | magnitude=100 | lead_time=3 | PID 830280 | GPU None
[2026-07-17T14:40:32] Started None | no_training_ma_100_half_quarterly_high_mag_noise0_lt1 | run_1 | freq=7 | noise=1 | magnitude=200 | lead_time=1 | PID 830289 | GPU None
[2026-07-17T14:40:35] Started None | no_training_ma_101_half_quarterly_high_mag_noise0_lt2 | run_1 | freq=7 | noise=1 | magnitude=200 | lead_time=2 | PID 830293 | GPU None
[2026-07-17T14:40:38] Started None | no_training_ma_102_half_quarterly_high_mag_noise0_lt3 | run_1 | freq=7 | noise=1 | magnitude=200 | lead_time=3 | PID 830297 | GPU None
[2026-07-17T14:40:41] Started None | no_training_ma_103_half_quarterly_high_mag_noise10_lt1 | run_1 | freq=7 | noise=1 | magnitude=200 | lead_time=1 | PID 830335 | GPU None
[2026-07-17T14:40:45] Started None | no_training_ma_104_half_quarterly_high_mag_noise10_lt2 | run_1 | freq=7 | noise=1 | magnitude=200 | lead_time=2 | PID 830362 | GPU None
[2026-07-17T14:40:48] Started None | no_training_ma_105_half_quarterly_high_mag_noise10_lt3 | run_1 | freq=7 | noise=1 | magnitude=200 | lead_time=3 | PID 830366 | GPU None
[2026-07-17T14:40:51] Started None | no_training_ma_106_half_quarterly_high_mag_noise100_lt1 | run_1 | freq=7 | noise=1 | magnitude=200 | lead_time=1 | PID 830370 | GPU None
[2026-07-17T14:40:54] Started None | no_training_ma_107_half_quarterly_high_mag_noise100_lt2 | run_1 | freq=7 | noise=1 | magnitude=200 | lead_time=2 | PID 830378 | GPU None
[2026-07-17T14:40:58] Started None | no_training_ma_108_half_quarterly_high_mag_noise100_lt3 | run_1 | freq=7 | noise=1 | magnitude=200 | lead_time=3 | PID 830388 | GPU None
[2026-07-17T14:41:01] Started local_multichannel | local_multichannel_001_yearly_low_mag_noise0_lt1 | run_1 | freq=52 | noise=1 | magnitude=50 | lead_time=1 | PID 830417 | GPU 0
[2026-07-17T14:41:05] Started local_multichannel | local_multichannel_002_yearly_low_mag_noise0_lt2 | run_1 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 830469 | GPU 1
[2026-07-17T14:41:08] Started local_multichannel | local_multichannel_003_yearly_low_mag_noise0_lt3 | run_1 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 830741 | GPU 2
[2026-07-17T14:41:12] Started local_multichannel | local_multichannel_004_yearly_low_mag_noise10_lt1 | run_1 | freq=52 | noise=1 | magnitude=50 | lead_time=1 | PID 830830 | GPU 4
[2026-07-17T14:41:15] Started local_multichannel | local_multichannel_005_yearly_low_mag_noise10_lt2 | run_1 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 830914 | GPU 5
[2026-07-17T14:41:18] Started local_multichannel | local_multichannel_006_yearly_low_mag_noise10_lt3 | run_1 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 831102 | GPU 6
[2026-07-17T14:41:22] Started local_multichannel | local_multichannel_007_yearly_low_mag_noise100_lt1 | run_1 | freq=52 | noise=1 | magnitude=50 | lead_time=1 | PID 831130 | GPU 7
