[2026-07-15T18:20:35] Started None | no_training_ma_005_yearly_low_mag_noise10_lt2 | run_4 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1143252 | GPU None
[2026-07-15T18:20:39] Started None | no_training_ma_005_yearly_low_mag_noise10_lt2 | run_5 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1143325 | GPU None
[2026-07-15T18:20:42] Started None | no_training_ma_005_yearly_low_mag_noise10_lt2 | run_6 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1143415 | GPU None
[2026-07-15T18:20:45] Started None | no_training_ma_005_yearly_low_mag_noise10_lt2 | run_7 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1143510 | GPU None
[2026-07-15T18:20:48] Started None | no_training_ma_005_yearly_low_mag_noise10_lt2 | run_8 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1143563 | GPU None
[2026-07-15T18:20:52] Started None | no_training_ma_005_yearly_low_mag_noise10_lt2 | run_9 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1143572 | GPU None
[2026-07-15T18:20:55] Started None | no_training_ma_006_yearly_low_mag_noise10_lt3 | run_0 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1143595 | GPU None
[2026-07-15T18:20:58] Started None | no_training_ma_006_yearly_low_mag_noise10_lt3 | run_1 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1143599 | GPU None
[2026-07-15T18:21:01] Started None | no_training_ma_006_yearly_low_mag_noise10_lt3 | run_2 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1143618 | GPU None
[2026-07-15T18:21:05] Started None | no_training_ma_006_yearly_low_mag_noise10_lt3 | run_3 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1143632 | GPU None
[2026-07-15T18:21:08] Started None | no_training_ma_006_yearly_low_mag_noise10_lt3 | run_4 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1143641 | GPU None
[2026-07-15T18:21:11] Started None | no_training_ma_006_yearly_low_mag_noise10_lt3 | run_5 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1143660 | GPU None
[2026-07-15T18:21:14] Started None | no_training_ma_006_yearly_low_mag_noise10_lt3 | run_6 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1143674 | GPU None
[2026-07-15T18:21:18] Started None | no_training_ma_006_yearly_low_mag_noise10_lt3 | run_7 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1143695 | GPU None
[2026-07-15T18:21:21] Started None | no_training_ma_006_yearly_low_mag_noise10_lt3 | run_8 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1143714 | GPU None
[2026-07-15T18:21:24] Started None | no_training_ma_006_yearly_low_mag_noise10_lt3 | run_9 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1143827 | GPU None
[2026-07-15T18:21:27] Started None | no_training_ma_007_yearly_low_mag_noise100_lt1 | run_0 | freq=52 | noise=1 | magnitude=50 | lead_time=1 | PID 1143846 | GPU None
[2026-07-15T18:21:31] Started None | no_training_ma_007_yearly_low_mag_noise100_lt1 | run_1 | freq=52 | noise=1 | magnitude=50 | lead_time=1 | PID 1144043 | GPU None
[2026-07-15T18:21:34] Started None | no_training_ma_007_yearly_low_mag_noise100_lt1 | run_2 | freq=52 | noise=1 | magnitude=50 | lead_time=1 | PID 1144047 | GPU None
[2026-07-15T18:21:37] Started None | no_training_ma_007_yearly_low_mag_noise100_lt1 | run_3 | freq=52 | noise=1 | magnitude=50 | lead_time=1 | PID 1144067 | GPU None
