agg_orders_level_0,agg_orders_level_1
4995.0,24975.0
5490.0,26205.0
5670.0,26925.0
5430.0,23595.0
5460.0,2910.0
5160.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
113.0,0.0
845.0,0.0
1541.0,0.0
2478.0,0.0
2854.0,0.0
2468.0,0.0
1152.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1143.0,0.0
2410.0,0.0
3403.0,0.0
2968.0,0.0
1545.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
226.0,0.0
1174.0,0.0
2395.0,0.0
3390.0,0.0
3470.0,0.0
2295.0,0.0
66.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
635.0,0.0
1658.0,0.0
2621.0,0.0
2781.0,0.0
2341.0,0.0
973.0,0.0
93.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
495.0,0.0
1527.0,0.0
2775.0,0.0
3573.0,0.0
3479.0,0.0
1671.0,0.0
6.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
34.0,0.0
793.0,0.0
1595.0,0.0
2539.0,0.0
2844.0,1439.0
2492.0,4171.0
1060.0,5341.0
120.0,4022.0
0.0,0.0
0.0,0.0
0.0,0.0
211.0,0.0
1417.0,0.0
2797.0,0.0
3906.0,0.0
3461.0,2315.0
1702.0,4177.0
171.0,4363.0
0.0,2048.0
0.0,0.0
0.0,0.0
0.0,0.0
56.0,0.0
833.0,0.0
1820.0,0.0
3042.0,0.0
3676.0,542.0
3281.0,4133.0
1589.0,5828.0
0.0,5335.0
0.0,1202.0
0.0,0.0
0.0,0.0
0.0,0.0
690.0,0.0
2037.0,0.0
3299.0,0.0
3695.0,0.0
2619.0,1302.0
472.0,1819.0
0.0,1819.0
0.0,462.0
0.0,0.0
0.0,0.0
504.0,0.0
1530.0,0.0
2529.0,293.0
3493.0,3948.0
3414.0,6122.0
2128.0,6337.0
132.0,5931.0
148.0,234.0
179.0,0.0
0.0,0.0
0.0,0.0
766.0,0.0
1755.0,0.0
